        L = 0.40          L = 0.35          L = 0.45     Etotal @ L = 0.00
        4.06800390        4.14902359        4.36235428    -5025.18684313                            
        3.81516534        3.96691548        4.08132740    -5013.13269968                            
        3.42838773        3.90380258        3.62782037    -5009.11515829                            
        3.79945138        5.34510011        3.59747546    -5018.79133014                            
        4.04599290        7.31328877        3.23643492    -5038.32001850                            
        3.92274362        5.64879111        3.60460809    -5027.94739134                            
        3.76119678        5.18915415        3.55491498    -5045.03646765                            
        4.75097061        6.09051592        4.50661573    -5026.82048062                            
        4.84375892        6.20794438        4.62776481    -5013.84421854                            
        5.76763032        6.89719092        5.65565056    -4999.29479761                            
        5.27202786        6.27018434        5.21976150    -5006.94472458                            
        5.03384582        6.15573913        5.01507891    -5005.79181526                            
        4.41905515        5.65028976        4.37360214    -5026.48325289                            
        2.94876311        3.83649018        3.02547284    -5020.59649765                            
        2.58931830        4.15148330        2.43433148    -5022.25553482                            
        1.62000510        3.05104157        1.55108751    -5007.49830546                            
        1.29092695        1.89827710        1.50717127    -5010.01229040                            
        1.58173409        2.81213882        1.53592700    -4989.11803616                            
        2.02485062        3.33492242        1.93304777    -4995.44091874                            
        1.15530230        2.40817031        1.09370419    -5002.46006182                            
        2.07467652        4.95831314        1.37021470    -4994.74600339                            
        2.16174258        3.39770590        2.05111285    -4983.14189650                            
        2.07789247        3.79281806        1.80142424    -4973.60928253                            
        1.06500628        2.24952814        0.99231319    -4991.03667024                            
        0.96777098        3.05961659        0.59017637    -5003.40354431                            
        0.78471356        1.76379203        0.79443833    -5001.33448278                            
        1.64555658        3.07952689        1.52128554    -4980.50363410                            
        1.03010873        2.19585043        1.03566182    -4989.91860422                            
        1.38616926        1.94239542        1.60780259    -5007.21638609                            
        2.05028476        3.58930692        1.84775514    -5004.92746276                            
        2.55223627        3.71776850        2.48912809    -4998.28601604                            
        1.26353558        1.86748407        1.48582149    -5004.61827121                            
        0.11878549        1.15610042        0.21755329    -5003.63948563                            
        1.33856445        2.72463654        1.24661493    -5001.49766853                            
        1.23185165        2.32018266        1.28107403    -4998.91174066                            
        0.57082250        0.34861689        1.15438005    -5015.96136608                            
       -0.15877873       -0.30792886        0.39421847    -5005.73856553                            
       -0.18349294       -0.10617699        0.27236719    -5014.27146125                            
        0.11537534        0.24249659        0.55303111    -5014.32503611                            
        0.22327953        0.11606941        0.76229524    -5013.41927765                            
        0.24277293       -0.09018961        0.87274747    -5016.32187663                            
        0.43323851       -0.16426158        1.15682072    -5008.73060186                            
        0.55132961        0.11932524        1.21663112    -4992.55808473                            
        0.79046816        0.25530924        1.50692016    -4996.86474681                            
        1.61327608        0.99140835        2.32145926    -4993.01367363                            
        2.81231850        2.25393755        3.49245320    -4992.01699872                            
        4.10490140        3.51299090        4.77757067    -4963.46333806                            
        3.01607627        2.53832294        3.67303941    -4972.99446002                            
        2.52699432        2.48895243        3.03236761    -4976.48071257                            
        2.77932164        2.52492609        3.35700003    -4995.71480562                            
        2.72435177        2.96724153        3.10983673    -5002.24044371                            
        2.71103500        2.11388107        3.45144010    -4995.81189381                            
        2.95006048        2.21032186        3.71905819    -4993.83788465                            
        3.82136752        3.37362658        4.45661185    -4987.61535440                            
        3.89364381        4.11894522        4.23918040    -5007.76674828                            
        3.61681849        3.62489469        4.06981196    -4994.32714393                            
        3.26788241        4.04722241        3.36772223    -4994.40566924                            
        3.59628400        3.47145362        4.11523859    -4986.27474828                            
        3.94575546        6.63836041        3.34934261    -4987.51627612                            
        2.64271121        5.36224099        1.93754520    -5002.49894392                            
        3.26774203        7.66510891        1.91862908    -5017.30540360                            
        2.59009085        4.44340909        2.25434224    -4990.48487539                            
        2.07809819        3.09242817        2.07467497    -5030.41596077                            
        2.86897759        5.50360264        2.28955707    -5023.57849343                            
        3.99804026        5.93110448        3.66662673    -5029.26052718                            
        2.81419679        3.49366351        2.99844916    -5043.08564616                            
